Report Name: test
Start Time : 
  1/11/2018  10:48:53

Avg: 14.0997   lbf
Peak: 37.5000   lbf
175,22.4000, lbf,17.500, s,
176,22.0000, lbf,17.600, s,
177,21.7000, lbf,17.700, s,
178,21.4000, lbf,17.800, s,
179,21.0000, lbf,17.900, s,
180,20.6000, lbf,18.000, s,
181,20.4000, lbf,18.100, s,
182,20.3000, lbf,18.200, s,
183,20.0000, lbf,18.300, s,
184,19.3000, lbf,18.400, s,
185,18.9000, lbf,18.500, s,
186,18.7000, lbf,18.600, s,
187,18.3000, lbf,18.700, s,
188,17.7000, lbf,18.800, s,
189,17.2000, lbf,18.900, s,
190,16.8000, lbf,19.000, s,
191,16.4000, lbf,19.100, s,
192,15.9000, lbf,19.200, s,
193,15.6000, lbf,19.300, s,
194,15.4000, lbf,19.400, s,
195,15.2000, lbf,19.500, s,
196,15.1000, lbf,19.600, s,
197,15.0000, lbf,19.700, s,
198,15.0000, lbf,19.800, s,
199,15.0000, lbf,19.900, s,
200,14.9000, lbf,20.000, s,
201,14.8000, lbf,20.100, s,
202,14.1000, lbf,20.200, s,
203,13.8000, lbf,20.300, s,
204,13.6000, lbf,20.400, s,
205,13.3000, lbf,20.500, s,
206,13.0000, lbf,20.600, s,
207,12.6000, lbf,20.700, s,
208,12.3000, lbf,20.800, s,
209,11.9000, lbf,20.900, s,
210,11.9000, lbf,21.000, s,
211,11.9000, lbf,21.100, s,
212,11.7000, lbf,21.200, s,
213,11.3000, lbf,21.300, s,
214,10.9000, lbf,21.400, s,
215,10.6000, lbf,21.500, s,
216,10.5000, lbf,21.600, s,
217,10.1000, lbf,21.700, s,
218,9.8000, lbf,21.800, s,
219,9.6000, lbf,21.900, s,
220,9.5000, lbf,22.000, s,
221,9.2000, lbf,22.100, s,
222,8.9000, lbf,22.200, s,
223,8.6000, lbf,22.300, s,
224,8.2000, lbf,22.400, s,
225,7.8000, lbf,22.500, s,
226,7.6000, lbf,22.600, s,
227,7.4000, lbf,22.700, s,
228,7.3000, lbf,22.800, s,
229,7.0000, lbf,22.900, s,
230,6.9000, lbf,23.000, s,
231,6.6000, lbf,23.100, s,
232,6.5000, lbf,23.200, s,
233,6.3000, lbf,23.300, s,
234,6.0000, lbf,23.400, s,
235,5.9000, lbf,23.500, s,
236,5.7000, lbf,23.600, s,
237,5.5000, lbf,23.700, s,
238,5.4000, lbf,23.800, s,
239,5.3000, lbf,23.900, s,
240,5.3000, lbf,24.000, s,
241,5.2000, lbf,24.100, s,
242,5.2000, lbf,24.200, s,
243,5.1000, lbf,24.300, s,
244,5.1000, lbf,24.400, s,
245,5.0000, lbf,24.500, s,
246,5.0000, lbf,24.600, s,
247,4.9000, lbf,24.700, s,
248,4.9000, lbf,24.800, s,
249,4.8000, lbf,24.900, s,
250,4.7000, lbf,25.000, s,
251,4.7000, lbf,25.100, s,
252,4.6000, lbf,25.200, s,
253,4.5000, lbf,25.300, s,
254,4.4000, lbf,25.400, s,
255,4.3000, lbf,25.500, s,
256,4.1000, lbf,25.600, s,
257,4.1000, lbf,25.700, s,
258,3.9000, lbf,25.800, s,
259,3.8000, lbf,25.900, s,
260,3.6000, lbf,26.000, s,
261,3.5000, lbf,26.100, s,
262,3.4000, lbf,26.200, s,
263,3.3000, lbf,26.300, s,
264,3.2000, lbf,26.400, s,
265,3.2000, lbf,26.500, s,
266,3.1000, lbf,26.600, s,
267,3.0000, lbf,26.700, s,
268,2.8000, lbf,26.800, s,
269,2.8000, lbf,26.900, s,
270,2.8000, lbf,27.000, s,
271,2.7000, lbf,27.100, s,
272,2.6000, lbf,27.200, s,
273,2.4000, lbf,27.300, s,
274,2.3000, lbf,27.400, s,
275,2.2000, lbf,27.500, s,
276,2.1000, lbf,27.600, s,
277,2.2000, lbf,27.700, s,
278,2.1000, lbf,27.800, s,
279,2.0000, lbf,27.900, s,
280,1.8000, lbf,28.000, s,
281,1.5000, lbf,28.100, s,
282,1.4000, lbf,28.200, s,
283,1.3000, lbf,28.300, s,
284,1.2000, lbf,28.400, s,
285,1.1000, lbf,28.500, s,
286,1.0000, lbf,28.600, s,
287,0.8000, lbf,28.700, s,
288,0.7000, lbf,28.800, s,
289,0.6000, lbf,28.900, s,
290,0.4000, lbf,29.000, s,
291,0.3000, lbf,29.100, s,
292,0.1000, lbf,29.200, s,
293,0.0000, lbf,29.300, s,
294,-0.1000, lbf,29.400, s,
295,-0.1000, lbf,29.500, s,
296,-0.1000, lbf,29.600, s,
297,-0.1000, lbf,29.700, s,
298,-0.1000, lbf,29.800, s,
299,-0.1000, lbf,29.900, s,
300,-0.1000, lbf,30.000, s,
301,-0.1000, lbf,30.100, s,
302,-0.1000, lbf,30.200, s,
303,-0.1000, lbf,30.300, s,
304,-0.1000, lbf,30.400, s,
305,0.0000, lbf,30.500, s,
306,0.0000, lbf,30.600, s,
307,0.0000, lbf,30.700, s,
308,0.0000, lbf,30.800, s,
309,0.0000, lbf,30.900, s,
310,0.0000, lbf,31.000, s,
311,0.1000, lbf,31.100, s,
312,0.1000, lbf,31.200, s,
313,0.1000, lbf,31.300, s,
314,0.1000, lbf,31.400, s,
315,0.1000, lbf,31.500, s,
316,0.1000, lbf,31.600, s,
317,0.1000, lbf,31.700, s,
318,0.1000, lbf,31.800, s,
319,0.1000, lbf,31.900, s,
320,0.1000, lbf,32.000, s,
321,0.1000, lbf,32.100, s,
322,0.1000, lbf,32.200, s,
323,0.1000, lbf,32.300, s,
324,0.1000, lbf,32.400, s,
325,0.1000, lbf,32.500, s,
