key,Deflection,Time
0,-0.0,1.1470606327056885
1,-0.0,1.257354974746704
2,-0.0,1.3677668571472168
3,-0.0,1.4819550514221191
4,-0.0,1.593252182006836
5,-0.0,1.703582763671875
6,-0.0,1.8178513050079346
7,-0.0,1.9291491508483887
8,-0.0,2.03955078125
9,-0.0,2.1538774967193604
10,-0.0,2.2650465965270996
11,-0.0,2.375418186187744
12,-0.0,2.489644765853882
13,-0.0,2.6009433269500732
14,-0.0,2.711276054382324
15,-0.0,2.8255436420440674
16,-0.0,2.9358367919921875
17,-0.0,3.047135353088379
18,-0.0,3.1615638732910156
19,-0.0,3.277750253677368
20,-0.0,3.3830318450927734
21,-0.0,3.4973418712615967
22,-0.0,3.6086390018463135
23,-0.0,3.7189295291900635
24,-0.0,3.8292949199676514
25,-0.0,3.944530963897705
26,-0.0,4.0548255443573
27,-0.0,4.165124893188477
28,-0.0,4.280429363250732
29,-0.0,4.390723705291748
30,-0.0,4.501017332077026
31,-0.0,4.616326808929443
32,-0.0,4.726620674133301
33,-0.0,4.8369140625
34,-0.0,4.951256036758423
35,-0.0,5.064521551132202
36,-0.0,5.173813104629517
37,-0.0,5.287116050720215
38,-0.0,5.398414850234985
39,-0.0,5.509711742401123
40,-0.0,5.624017238616943
41,-0.0,5.734311819076538
42,-0.0,5.845608949661255
43,-0.0,5.959914207458496
44,-0.0,6.07321572303772
45,-0.0,6.181506633758545
46,-0.0,6.294844150543213
47,-0.0,6.406105041503906
48,-0.0,6.516401052474976
49,-0.0,6.631708145141602
50,-0.0,6.755035877227783
51,-0.0,6.85129451751709
52,-0.0,6.9746222496032715
53,-0.0,7.077898263931274
54,-0.0,7.199222803115845
55,-0.0,7.303502082824707
56,-0.0,7.413796663284302
57,-0.0,7.524091005325317
58,-0.0,7.634384632110596
59,-0.0,7.749693393707275
60,-0.0,7.8639984130859375
61,-0.0,7.971285581588745
62,-0.0,8.085590839385986
63,-0.0,8.195885181427002
64,-0.0,8.306181192398071
65,-0.0,8.42148756980896
66,-0.0,8.532784700393677
67,-0.0,8.643080234527588
68,-0.0,8.75638198852539
69,-0.0,8.867680549621582
70,-0.0,8.977974653244019
71,-0.0,9.093281745910645
72,-0.0,9.203577041625977
73,-0.0,9.31387209892273
74,-0.0,9.428176879882812
75,-0.0,9.539475440979004
76,-0.0,9.649769067764282
77,-0.0,9.76414179801941
78,-0.0,9.875372171401978
79,-0.0,9.991680383682251
80,-0.0,10.100971221923828
81,-0.0,10.211265802383423
82,-0.0,10.323566198348999
83,-0.0,10.43586540222168
84,-0.0,10.547163248062134
85,-0.0,10.657457828521729
86,-0.0,10.771764278411865
87,-0.0,10.882057189941406
88,-0.0,10.99736499786377
89,-0.0,11.107659578323364
90,-0.0,11.223970890045166
91,-0.0,11.329251766204834
92,-0.0,11.43954610824585
93,-0.0,11.55485463142395
94,-0.0,11.66815710067749
95,-0.0,11.775443077087402
96,-0.0,11.889748334884644
97,-0.0,12.001045942306519
98,0.06,12.11535096168518
99,0.08,12.230659246444702
100,0.1,12.340953588485718
101,0.13,12.451248168945312
102,0.13,12.565566062927246
103,0.17,12.676851034164429
104,0.19,12.787145137786865
105,0.19,12.901450634002686
106,0.22,13.012747764587402
107,0.24,13.123042345046997
108,0.24,13.23734736442566
109,0.27,13.348644733428955
110,0.27,13.45893931388855
111,0.3,13.577255725860596
112,0.33,13.684541940689087
113,0.35,13.794836044311523
114,0.37,13.909141778945923
115,0.39,14.020439386367798
116,0.43,14.130733966827393
117,0.47,14.241028070449829
118,0.5,14.356336116790771
119,0.53,14.466630697250366
120,0.56,14.577927827835083
121,0.59,14.692233562469482
122,0.63,14.802528142929077
123,0.67,14.912822008132935
124,0.71,15.028130292892456
125,0.73,15.138424396514893
126,0.75,15.248718976974487
127,0.77,15.363024473190308
128,0.81,15.474321842193604
129,0.88,15.58461618423462
130,0.96,15.69892144203186
131,1.01,15.810219049453735
132,1.05,15.920513153076172
133,1.08,16.034818410873413
134,1.11,16.146116256713867
135,1.15,16.256410837173462
136,1.21,16.370715618133545
137,1.26,16.481010675430298
138,1.26,16.592307329177856
139,1.29,16.706612586975098
140,1.38,16.816907167434692
141,1.46,16.928205728530884
142,1.49,17.04251003265381
143,1.51,17.152804374694824
144,1.57,17.2641019821167
145,1.68,17.378406763076782
146,1.72,17.489704370498657
147,1.74,17.599998712539673
148,1.78,17.710293292999268
149,1.8,17.82459855079651
150,1.84,17.935896158218384
151,1.87,18.04619073867798
152,1.87,18.160496711730957
153,1.89,18.271793127059937
154,2.0,18.3860981464386
155,2.09,18.496392726898193
156,2.13,18.60769009590149
157,2.18,18.722997903823853
158,2.21,18.832290172576904
159,2.23,18.9425847530365
160,2.26,19.053881883621216
161,2.29,19.168187141418457
162,2.32,19.279484748840332
163,2.32,19.38977885246277
164,2.32,19.50408411026001
165,2.32,19.616384267807007
166,2.32,19.72467279434204
167,2.32,19.839981079101562
168,2.33,19.95127844810486
169,2.33,20.061572790145874
170,2.42,20.175878047943115
171,2.42,20.28617238998413
172,2.44,20.397469997406006
173,2.47,20.511775493621826
174,2.5,20.62207007408142
175,2.53,20.732364416122437
176,2.55,20.84767246246338
177,2.58,20.957966566085815
178,2.62,21.06926393508911
179,2.65,21.18356966972351
180,2.68,21.293864250183105
181,2.71,21.405161380767822
182,2.74,21.519466400146484
183,2.77,21.62976098060608
184,2.8,21.740055322647095
185,2.83,21.855363368988037
186,2.86,21.96565842628479
187,2.89,22.076955556869507
188,2.92,22.187249898910522
189,2.95,22.301554918289185
190,2.98,22.41184949874878
191,2.98,22.52615475654602
192,3.0,22.637452125549316
193,3.03,22.74874973297119
194,3.03,22.859044075012207
195,3.03,22.975354433059692
196,3.03,23.083643674850464
197,3.03,23.19494104385376
198,3.03,23.309246301651
199,3.03,23.419541120529175
200,3.01,23.533846139907837
201,2.99,23.64514398574829
202,2.96,23.759449005126953
203,2.92,23.87074589729309
204,2.89,23.981040477752686
205,2.86,24.095345735549927
206,2.83,24.2066433429718
207,2.79,24.31693720817566
208,2.77,24.4312424659729
209,2.75,24.542540311813354
210,2.72,24.65283513069153
211,2.72,24.76713991165161
212,2.7,24.877434492111206
213,2.68,24.989734649658203
214,2.68,25.103037357330322
215,2.65,25.21333622932434
216,2.65,25.32362651824951
217,2.63,25.438934087753296
218,2.63,25.54922914505005
219,2.6,25.66052556037903
220,2.58,25.770820140838623
221,2.58,25.885125875473022
222,2.55,25.999431133270264
223,2.55,26.11072850227356
224,2.52,26.259124517440796
225,2.5,26.33131742477417
226,2.5,26.442614316940308
227,2.46,26.55691957473755
228,2.44,26.668217420578003
229,2.41,26.77851176261902
230,2.39,26.89281702041626
231,2.37,27.003111839294434
232,2.35,27.11440896987915
233,2.32,27.228713989257812
234,2.3,27.34101414680481
235,2.28,27.450306177139282
236,2.26,27.564611196517944
237,2.24,27.67490577697754
238,2.21,27.786203384399414
239,2.19,27.900508642196655
240,2.17,28.011805772781372
241,2.17,28.121097564697266
242,2.12,28.23640537261963
243,2.09,28.346700191497803
244,2.07,28.45799708366394
245,2.05,28.572302103042603
246,2.01,28.682596683502197
247,1.98,28.793894290924072
248,1.95,28.908199310302734
249,1.92,29.018494129180908
250,1.89,29.129791259765625
251,1.87,29.244096517562866
252,1.87,29.35439133644104
253,1.85,29.465688705444336
254,1.85,29.579993963241577
255,1.85,29.690288543701172
256,1.84,29.80158543586731
257,1.84,29.91589045524597
258,1.8,30.026185750961304
259,1.77,30.13647961616516
260,1.77,30.25178813934326
261,1.74,30.362082481384277
262,1.72,30.472376823425293
263,1.69,30.588687896728516
264,1.67,30.69797945022583
265,1.65,30.808273792266846
266,1.65,30.9195716381073
267,1.65,31.033876180648804
268,1.61,31.1441707611084
269,1.59,31.255468368530273
270,1.56,31.369773626327515
271,1.56,31.48006796836853
272,1.52,31.591365814208984
273,1.5,31.71268939971924
274,1.5,31.811954259872437
275,1.48,31.92627763748169
276,1.46,32.0415678024292
277,1.44,32.151862382888794
278,1.41,32.26315951347351
279,1.38,32.37746453285217
280,1.36,32.48775911331177
281,1.36,32.59905695915222
282,1.33,32.713361978530884
283,1.33,32.82365655899048
284,1.3,32.933950424194336
285,1.28,33.04925870895386
286,1.28,33.15955328941345
287,1.25,33.269848346710205
288,1.25,33.38515615463257
289,1.22,33.495450258255005
290,1.2,33.60574507713318
291,1.2,33.72005033493042
292,1.17,33.83134746551514
293,1.17,33.94164204597473
