Time,Deflection,Force,Angle,Torque
3.7,0.515,3.0,0.8430056337165289,4.133860499999999
3.765584760000001,0.53,3.15,0.8675554961806753,4.340553524999999
3.8,0.545,3.3,0.892105040072784,4.547246549999999
3.8768818900000017,0.56,3.45,0.9166542563852877,4.7539395749999995
3.9,0.575,3.6,0.9412031361113403,4.960632599999999
3.9911876200000016,0.59,3.75,0.9657516702448367,5.167325624999999
4.0,0.6033333333333333,3.9,0.9875722920674698,5.374018649999999
4.1,0.6166666666666667,4.1,1.0093926273897502,5.649609349999999
4.101482200000001,0.63,4.4,1.031212669887953,6.0629954
4.2,0.65,4.7,1.0639421707582195,6.47638145
4.211776070000001,0.67,4.95,1.0966709772085532,6.820869824999999
4.3,0.69,5.2,1.1293990679030272,7.165358199999999
4.327084350000002,0.71,5.4,1.162126421508516,7.4409488999999995
4.4,0.72,5.6,1.178489815237076,7.716539599999998
4.4373784600000015,0.73,5.85,1.1948530166947793,8.061027974999998
4.5,0.74,6.1,1.2112160232158105,8.40551635
4.547673040000001,0.75,6.35,1.2275788321345442,8.750004724999998
4.6,0.76,6.6,1.2439414407855491,9.094493099999998
4.661978530000001,0.77,6.8,1.2603038465035898,9.370083799999998
4.7,0.79,7.0,1.293028038480829,9.645674499999998
4.773275900000002,0.81,7.25,1.3257513867483937,9.990162875
4.8,0.845,7.5,1.3830151519319083,10.334651249999999
4.883570240000001,0.88,7.8,1.4402761537728648,10.748037299999998
4.9,0.9199999999999999,8.1,1.505713768587854,11.161423349999998
4.997875500000001,0.96,8.35,1.571147454640085,11.505911724999999
5.0,0.9766666666666667,8.6,1.5984102904703037,11.850400099999998
5.1,0.9933333333333333,9.3,1.6256724023378477,12.814967549999999
5.109173110000002,1.01,9.55,1.6529337779278441,13.159455925
5.2,1.03,9.8,1.685646439413091,13.503944299999999
5.219467210000001,1.05,9.850000000000001,1.7183580016554574,13.572841975000001
5.3,1.065,9.9,1.7428909391646052,13.641739649999998
5.333772470000001,1.08,10.15,1.7674232374149927,13.986228024999999
5.4,1.0950000000000002,10.4,1.7919548874369953,14.330716399999998
5.445070320000001,1.11,10.600000000000001,1.8164858802624138,14.6063071
5.5,1.13,10.8,1.849192832892624,14.881897799999999
5.5553649000000025,1.15,11.05,1.8818985799821502,15.226386174999998
5.6,1.18,11.3,1.9309548937538579,15.57087455
5.66966968,1.21,11.75,1.98000837557303,16.190953625
5.7,1.2349999999999999,12.2,2.020884062092544,16.8110327
5.779964740000002,1.26,12.6,2.06175769075854,17.362214099999996
5.8,1.26,13.0,2.06175769075854,17.913395499999996
5.891261390000002,1.26,13.4,2.06175769075854,18.464576899999997
5.9,1.27,13.8,2.078106556742198,19.015758299999998
6.0,1.28,14.5,2.094455084186391,19.98032575
6.0055666500000005,1.29,14.65,2.110803270439641,20.187018775
6.1,1.335,14.8,2.1843658152653926,20.3937118
6.115861230000002,1.38,15.0,2.25792115579924,20.669302499999997
6.2,1.42,15.2,2.323297437550216,20.944893199999996
6.22715979,1.46,15.5,2.388667666900111,21.35827925
6.3,1.475,15.8,2.4131799079597474,21.7716653
6.3414640900000006,1.49,16.1,2.4376912651630254,22.18505135
6.4,1.5,16.4,2.4540316745270756,22.598437399999995
6.45175843,1.51,16.799999999999997,2.4703716844564036,23.149618799999992
6.5,1.54,17.2,2.5193892912062674,23.700800199999996
6.563056040000001,1.57,17.549999999999997,2.568403207912974,24.183083924999995
6.6,1.625,17.9,2.6582522347077946,24.665367649999997
6.677360820000002,1.68,18.0,2.74808818005375,24.803162999999998
6.7,1.7,18.1,2.780752467489777,24.94095835
6.78865843,1.72,18.200000000000003,2.8134149460426277,25.0787537
6.8,1.73,18.3,2.829745500400993,25.216549049999998
6.898952770000003,1.74,18.75,2.8460755946352077,25.836628124999997
6.9,1.7533333333333334,19.2,2.8678483333137765,26.456707199999997
7.0,1.7666666666666666,20.6,2.889620243070905,28.385842099999998
7.009247350000001,1.78,20.950000000000003,2.911391317666843,28.868125825
7.1,1.79,21.3,2.9277190717864814,29.35040955
7.123552610000003,1.8,21.4,2.944046349987624,29.488204899999996
7.2,1.82,21.5,2.9766994681117436,29.626000249999997
7.23485022,1.84,21.55,3.0093506509985066,29.694897924999996
7.3,1.855,21.6,3.033837755511009,29.763795599999998
7.345144800000002,1.87,22.15,3.0583237507506156,30.521670024999995
7.4,1.87,22.7,3.0583237507506156,31.279544449999996
7.459450770000002,1.87,23.4,3.0583237507506156,32.24411189999999
7.5,1.88,24.1,3.0746471269348685,33.20867935
7.5707471900000005,1.89,24.35,3.090970003540502,33.553167724999994
7.6,1.9449999999999998,24.6,3.180736777556095,33.8976561
7.68505221,2.0,24.700000000000003,3.2704879231835653,34.03545145
7.7,2.045,24.8,3.343908749436309,34.173246799999994
7.795346790000002,2.09,25.1,3.4173185829504664,34.58663285
7.8,2.103333333333333,25.4,3.439067498580732,35.00001889999999
7.9,2.1166666666666667,25.6,3.4608154220028107,35.275609599999996
7.906644160000001,2.13,25.8,3.4825623470183413,35.5512003
8.0,2.1550000000000002,26.0,3.5233351188328608,35.82679099999999
8.02195196,2.18,26.3,3.564104318010003,36.24017705
8.1,2.1950000000000003,26.6,3.5885641056729227,36.6535631
8.131244230000002,2.21,26.65,3.613022583683789,36.722460774999995
8.2,2.2199999999999998,26.7,3.629327503756757,36.79135845
8.241538810000003,2.23,26.7,3.6456318352382735,36.79135845
8.3,2.245,26.7,3.670087223145563,36.79135845
8.35283594,2.26,26.799999999999997,3.694541272051641,36.929153799999995
8.4,2.275,26.9,3.7189939731580433,37.06694914999999
8.467141200000002,2.29,27.549999999999997,3.7434453176692393,37.962618924999994
8.5,2.3049999999999997,28.2,3.7678952967926542,38.858288699999996
8.578438810000003,2.32,28.75,3.7923439017386813,39.61616312499999
8.6,2.32,29.3,3.7923439017386813,40.37403755
8.68873291,2.32,29.450000000000003,3.7923439017386813,40.580730575
8.7,2.32,29.6,3.7923439017386813,40.7874236
8.8,2.32,30.1,3.7923439017386813,41.47640035
8.803038170000002,2.32,30.25,3.7923439017386813,41.68309337499999
8.9,2.32,30.4,3.7923439017386813,41.88978639999999
8.915338330000003,2.32,30.45,3.7923439017386813,41.958684074999994
9.0,2.32,30.5,3.7923439017386813,42.027581749999996
9.023626850000001,2.32,30.7,3.7923439017386813,42.30317244999999
9.1,2.32,30.9,3.7923439017386813,42.57876314999999
9.138935140000003,2.32,30.95,3.7923439017386813,42.647660824999996
9.2,2.325,31.0,3.8004931298291775,42.7165585
9.250232510000002,2.33,31.15,3.808642203931625,42.92325152499999
9.3,2.33,31.3,3.808642203931625,43.12994455
9.360526850000001,2.33,31.450000000000003,3.808642203931625,43.336637575
9.4,2.375,31.6,3.881976887726215,43.5433306
9.474832110000003,2.42,31.55,3.955298835137798,43.474432924999995
9.5,2.42,31.5,3.955298835137798,43.40553524999999
9.585126450000002,2.42,31.5,3.955298835137798,43.40553524999999
9.6,2.4299999999999997,31.5,3.9715908477742032,43.40553524999999
9.69642406,2.44,31.45,3.987882217163401,43.33663757499999
9.7,2.45,31.4,4.004172940709388,43.267739899999995
9.8,2.46,31.4,4.020463015816786,43.267739899999995
9.810729550000003,2.47,31.4,4.036752439890842,43.267739899999995
9.9,2.4850000000000003,31.4,4.0611853496399375,43.267739899999995
9.921024130000001,2.5,31.35,4.085616779974877,43.198842225
10.0,2.5149999999999997,31.3,4.110046722146366,43.12994455
10.031318480000001,2.53,31.3,4.134475167408344,43.12994455
10.1,2.54,31.3,4.150759961649027,43.12994455
10.14662652,2.55,31.55,4.167044084121172,43.474432924999995
10.2,2.565,31.8,4.1914690026001,43.81892129999999
10.256920630000002,2.58,32.25,4.215892395039537,44.43900037499999
10.3,2.6,32.7,4.248454529361296,45.05907945
10.368218,2.62,32.6,4.281013914512532,44.921284099999994
10.4,2.635,32.5,4.30543163679334,44.78348875
10.482523730000002,2.65,32.6,4.329847792314622,44.921284099999994
10.5,2.665,32.7,4.354262372360209,45.05907945
10.59281831,2.68,32.8,4.378675368217349,45.19687479999999
10.6,2.69,32.9,4.394949814383041,45.334670149999994
10.7,2.7,33.2,4.4112235500144115,45.7480562
10.70411544,2.71,33.35,4.427496572532453,45.95474922499999
10.8,2.725,33.5,4.451904763582142,46.16144224999999
10.81842046,2.74,33.55,4.476311335626871,46.23033992499999
10.9,2.755,33.6,4.500716279971226,46.2992376
10.928715040000002,2.77,33.7,4.525119587923316,46.437032949999995
11.0,2.785,33.8,4.549521250794792,46.57482829999999
11.039009380000001,2.8,33.95,4.573921259900861,46.781521325
11.1,2.815,34.1,4.598319606560307,46.98821434999999
11.15431743,2.83,34.25,4.62271628209551,47.19490737499999
11.2,2.8449999999999998,34.4,4.647111277832459,47.40160039999999
11.264612490000003,2.86,34.5,4.671504585100779,47.53939575
11.3,2.875,34.6,4.69589619523374,47.677191099999995
11.37590962,2.89,34.7,4.720286099568278,47.81498645
11.4,2.9050000000000002,34.8,4.744674289445015,47.95278179999999
11.486203960000003,2.92,34.9,4.769060756208277,48.090577149999994
11.5,2.93,35.0,4.785317439159129,48.22837249999999
11.6,2.94,35.2,4.801573349873759,48.5039632
11.600508980000003,2.95,35.35,4.817828485790287,48.710656224999994
11.7,2.965,35.5,4.842209731316354,48.917349249999994
11.71080356,2.98,35.6,4.866589219143624,49.0551446
11.8,2.98,35.7,4.866589219143624,49.192939949999996
11.825108820000002,2.98,35.8,4.866589219143624,49.33073529999999
11.9,2.99,35.9,4.882841230263847,49.46853064999999
11.936406190000001,3.0,36.05,4.899092453787765,49.67522367499999
12.0,3.0149999999999997,36.2,4.923467806736495,49.8819167
12.047703790000002,3.03,36.3,4.94784137321162,50.01971204999999
12.1,3.03,36.4,4.94784137321162,50.15750739999999
12.157998140000002,3.03,36.45,4.94784137321162,50.226405074999995
12.2,3.03,36.5,4.94784137321162,50.29530274999999
12.274308490000001,3.03,36.6,4.94784137321162,50.433098099999995
12.3,3.03,36.7,4.94784137321162,50.57089345
12.382597730000002,3.03,36.8,4.94784137321162,50.70868879999999
12.4,3.03,36.9,4.94784137321162,50.846484149999995
12.493895100000001,3.03,37.0,4.94784137321162,50.98427949999999
12.5,3.03,37.1,4.94784137321162,51.12207485
12.6,3.03,37.2,4.94784137321162,51.259870199999995
12.608200360000003,3.03,37.150000000000006,4.94784137321162,51.190972525
12.7,3.03,37.1,4.94784137321162,51.12207485
12.718495180000003,3.03,37.25,4.94784137321162,51.328767875
12.8,3.0199999999999996,37.4,4.9315925278179,51.53546089999999
12.832800200000003,3.01,37.45,4.915342887157992,51.604358575
12.9,3.0,37.5,4.899092453787765,51.673256249999994
12.944098050000003,2.99,37.45,4.882841230263847,51.604358575
